"Job ID","Project","Start","End","State","#Nodes","#Cores","#GPUs","Exclusive","Walltime","Pending","Duration","Core Hours","Used Walltime","Partition"
"17189128","p_lv_internet","20/05/2025 16:00:08","20/05/2025 16:30:18","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 00s","00d 00h 30min 10s","3.02","100.56","barnard"
"17181715","p_lv_internet","20/05/2025 13:05:05","20/05/2025 13:35:35","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 02s","00d 00h 30min 30s","3.05","101.67","barnard"
"17181314","p_lv_internet","20/05/2025 11:33:33","20/05/2025 11:56:49","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 18min 17s","00d 00h 23min 16s","2.33","77.56","barnard"
"17177784","p_lv_internet","20/05/2025 10:40:35","20/05/2025 11:10:59","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 18s","00d 00h 30min 24s","3.04","101.33","barnard"
"17171321","p_lv_internet","20/05/2025 09:20:19","20/05/2025 09:35:04","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 07s","00d 00h 14min 45s","1.48","49.17","barnard"
"17170556","p_lv_internet","20/05/2025 07:40:09","20/05/2025 08:00:06","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 03s","00d 00h 19min 57s","2.00","66.5","barnard"
"17170085","p_lv_internet","20/05/2025 03:20:15","20/05/2025 03:50:06","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 08s","00d 00h 29min 51s","2.98","99.5","barnard"
"17168791","p_lv_internet","20/05/2025 02:49:12","20/05/2025 03:19:26","timeout","3","6","0","0","00d 00h 30min 00s","00d 01h 49min 06s","00d 00h 30min 14s","3.02","100.78","barnard"
"17168049","p_lv_internet","20/05/2025 00:25:45","20/05/2025 00:55:53","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 15s","00d 00h 30min 08s","3.01","100.44","barnard"
"17167279","p_lv_internet","19/05/2025 23:50:10","20/05/2025 00:20:20","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 03s","00d 00h 30min 10s","3.02","100.56","barnard"
"17164042","p_lv_internet","19/05/2025 22:10:22","19/05/2025 22:40:48","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 15s","00d 00h 30min 26s","3.04","101.44","barnard"
"17163442","p_lv_internet","19/05/2025 21:35:15","19/05/2025 22:05:18","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 10s","00d 00h 30min 03s","3.00","100.17","barnard"
"17163152","p_lv_internet","19/05/2025 21:00:36","19/05/2025 21:30:48","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 18s","00d 00h 30min 12s","3.02","100.67","barnard"
"17162909","p_lv_internet","19/05/2025 20:25:30","19/05/2025 20:55:47","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 26s","00d 00h 30min 17s","3.03","100.94","barnard"
"17162836","p_lv_internet","19/05/2025 19:50:25","19/05/2025 20:20:48","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 19s","00d 00h 30min 23s","3.04","101.28","barnard"
"17162747","p_lv_internet","19/05/2025 19:15:14","19/05/2025 19:45:18","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 08s","00d 00h 30min 04s","3.01","100.22","barnard"
"17162273","p_lv_internet","19/05/2025 18:40:09","19/05/2025 19:10:17","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 02s","00d 00h 30min 08s","3.01","100.44","barnard"
"17161502","p_lv_internet","19/05/2025 18:05:22","19/05/2025 18:35:46","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 20s","00d 00h 30min 24s","3.04","101.33","barnard"
"17160755","p_lv_internet","19/05/2025 17:32:18","19/05/2025 18:02:44","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 17s","00d 00h 30min 26s","3.04","101.44","barnard"
"17159256","p_lv_internet","19/05/2025 16:59:01","19/05/2025 17:29:13","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 03min 52s","00d 00h 30min 12s","3.02","100.67","barnard"
"17157301","p_lv_internet","19/05/2025 16:20:00","19/05/2025 16:50:08","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 14min 53s","00d 00h 30min 08s","3.01","100.44","barnard"
"17157104","p_lv_internet","19/05/2025 15:29:52","19/05/2025 16:00:04","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 04min 00s","00d 00h 30min 12s","3.02","100.67","barnard"
"17156239","p_lv_internet","19/05/2025 14:50:19","19/05/2025 15:20:34","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 12s","00d 00h 30min 15s","3.02","100.83","barnard"
"17155858","p_lv_internet","19/05/2025 14:16:08","19/05/2025 14:46:35","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 16s","00d 00h 30min 27s","3.04","101.5","barnard"
"17154928","p_lv_internet","19/05/2025 13:40:29","19/05/2025 14:10:34","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 22s","00d 00h 30min 05s","3.01","100.28","barnard"
"17125090","p_lv_internet","16/05/2025 22:25:32","16/05/2025 22:40:06","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 29s","00d 00h 14min 34s","1.46","48.56","barnard"
"17125051","p_lv_internet","16/05/2025 22:20:17","16/05/2025 22:20:19","failed","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 10s","00d 00h 00min 02s","0.00","0.11","barnard"
"17125008","p_lv_internet","16/05/2025 22:18:09","16/05/2025 22:18:12","failed","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 03s","00d 00h 00min 03s","0.01","0.17","barnard"
"17100910","p_lv_internet","15/05/2025 16:43:08","15/05/2025 17:13:13","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 23min 05s","00d 00h 30min 05s","3.01","100.28","barnard"
"17098072","p_lv_internet","15/05/2025 14:54:15","15/05/2025 15:24:22","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 06min 57s","00d 00h 30min 07s","3.01","100.39","barnard"
"17057737","p_lv_internet","14/05/2025 16:08:30","14/05/2025 16:25:03","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 18s","00d 00h 16min 33s","1.66","55.17","barnard"
"16792589","p_lv_internet","29/04/2025 13:41:26","29/04/2025 13:44:06","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 09s","00d 00h 02min 40s","0.27","8.89","barnard"
"16792551","p_lv_internet","29/04/2025 13:38:23","29/04/2025 13:38:25","failed","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 00s","00d 00h 00min 02s","0.00","0.11","barnard"
"16792475","p_lv_internet","29/04/2025 13:32:18","29/04/2025 13:32:57","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 03s","00d 00h 00min 39s","0.07","2.17","barnard"
